user_id,avg_rating,avg_noised_rating,rating_count,rating_variance,noised_count,noised_variance
1086,3.9,3.2,[0 0 2 5 1],0.36,[0 2 2 4 0],0.69
1117,3.3,4.0,[0 0 2 1 0],0.22,[0 0 0 3 0],0.0
1146,3.7,4.0,[0 0 2 4 0],0.22,[0 1 1 1 3],1.33
1186,3.5,3.2,[0 0 4 1 1],0.58,[0 2 2 1 1],1.14
1211,3.6,4.2,[1 0 0 3 1],1.84,[0 0 2 0 3],0.96
1221,3.7,3.6,[0 1 2 2 2],1.06,[0 2 1 2 2],1.39
1276,3.5,3.4,[1 0 4 5 1],0.98,[0 3 3 3 2],1.14
1295,4.3,3.3,[0 0 1 0 2],0.89,[1 0 0 1 1],2.89
1310,3.5,3.6,[0 0 7 4 1],0.42,[0 2 4 3 3],1.08
1331,3.2,3.5,[0 0 6 2 0],0.19,[0 1 3 3 1],0.75
1333,2.7,3.1,[ 5  8 22  7  0],0.76,[ 6  6 12 13  5],1.49
1357,3.0,2.8,[1 0 1 2 0],1.5,[1 0 2 1 0],1.19
1374,4.7,3.7,[0 0 0 1 2],0.22,[0 0 2 0 1],0.89
1385,4.0,4.0,[0 0 1 1 1],0.67,[0 0 0 3 0],0.0
1409,4.2,4.0,[0 0 2 6 4],0.47,[0 1 2 5 4],0.83
1427,3.1,3.3,[3 1 3 7 1],1.58,[2 2 4 3 4],1.82
1442,4.5,4.1,[0 0 1 5 9],0.38,[0 0 4 5 6],0.65
1457,3.4,3.2,[1 1 5 8 1],0.87,[2 3 4 3 4],1.81
1500,3.4,3.1,[1 2 3 9 1],1.0,[2 2 6 4 2],1.36
1507,2.9,3.3,[1 2 2 1 1],1.55,[0 1 4 1 1],0.78
1523,3.0,3.0,[0 0 1 0 0],0.0,[0 0 1 0 0],0.0
1527,4.0,3.8,[1 2 1 1 8],2.0,[1 0 4 4 4],1.25
1533,4.1,3.6,[0 0 1 4 2],0.41,[0 1 2 3 1],0.82
1534,4.4,3.7,[0 0 1 2 4],0.53,[1 0 1 3 2],1.63
1573,4.3,3.7,[0 1 0 1 4],1.22,[1 0 1 2 2],1.89
1588,3.6,3.1,[0 1 2 4 1],0.73,[1 1 3 2 1],1.36
1611,3.6,3.4,[0 1 4 3 2],0.84,[1 0 5 2 2],1.24
1626,3.9,3.6,[0 1 1 4 2],0.86,[1 1 1 2 3],1.98
1636,3.2,3.2,[0 2 2 1 1],1.14,[1 0 3 1 1],1.47
1664,4.7,3.8,[0 0 0 2 4],0.22,[0 0 2 3 1],0.47
1689,3.2,3.0,[0 1 3 2 0],0.47,[0 2 2 2 0],0.67
1693,4.0,3.2,[0 0 0 4 0],0.0,[0 0 3 1 0],0.19
1701,3.4,3.6,[0 0 4 3 0],0.24,[1 1 0 3 2],1.96
1702,3.4,3.7,[0 0 7 4 0],0.23,[1 1 1 5 3],1.47
1715,4.0,3.3,[1 0 0 3 3],1.71,[1 0 3 2 1],1.35
1734,4.7,3.2,[0 0 1 0 5],0.56,[0 1 3 2 0],0.47
1738,3.3,2.7,[0 2 2 0 2],1.56,[1 2 2 0 1],1.56
1746,3.5,4.5,[0 0 1 1 0],0.25,[0 0 0 1 1],0.25
1809,4.1,4.6,[0 0 2 4 3],0.54,[0 0 1 2 6],0.47
1811,2.9,3.3,[1 4 3 3 1],1.24,[2 0 4 4 2],1.56
1830,3.7,2.8,[1 0 5 2 4],1.39,[3 2 4 1 2],1.85
1831,3.8,4.0,[0 1 2 3 2],0.94,[0 1 1 3 3],1.0
1846,4.2,3.6,[0 0 1 2 2],0.56,[0 0 3 1 1],0.64
1871,3.8,3.8,[0 2 2 5 3],1.02,[2 0 1 5 4],1.85
1894,3.7,4.0,[1 0 2 4 2],1.33,[0 1 1 4 3],0.89
1897,3.9,3.6,[0 0 4 3 3],0.69,[1 2 0 4 3],1.84
1900,4.0,3.6,[0 0 1 3 1],0.4,[1 0 1 1 2],2.24
1918,3.1,3.3,[0 4 5 1 2],1.08,[1 1 4 5 1],1.06
1922,3.4,3.4,[0 1 2 1 1],1.04,[0 1 1 3 0],0.64
1947,2.8,3.5,[1 0 2 1 0],1.19,[0 1 1 1 1],1.25
1983,3.7,4.0,[0 0 1 2 0],0.22,[0 0 1 1 1],0.67
1985,4.2,3.5,[0 0 1 1 2],0.69,[0 1 0 3 0],0.75
2000,3.8,3.4,[0 2 5 5 5],1.0,[3 0 4 8 2],1.52
2050,3.2,3.0,[0 1 2 2 0],0.56,[1 1 1 1 1],2.0
2057,2.8,3.3,[0 1 5 0 0],0.14,[1 1 0 3 1],1.89
2104,4.0,4.0,[0 0 0 1 0],0.0,[0 0 0 1 0],0.0
2114,3.4,4.0,[0 0 3 2 0],0.24,[0 1 0 2 2],1.2
2128,3.4,3.3,[0 2 6 3 2],0.85,[1 3 3 3 3],1.6
2133,3.2,3.6,[0 2 7 3 1],0.64,[0 1 6 3 3],0.85
2172,3.5,3.8,[0 1 1 1 1],1.25,[0 0 1 3 0],0.19
2213,3.9,3.3,[ 1  0  9 12  9],0.86,[2 6 9 8 6],1.38
2225,3.1,3.8,[0 0 8 1 0],0.1,[1 1 1 2 4],1.95
2233,3.8,3.5,[0 0 2 3 1],0.47,[1 1 0 2 2],2.25
2250,3.5,3.0,[0 0 1 1 0],0.25,[0 1 0 1 0],1.0
2264,3.8,3.5,[0 2 0 7 2],0.88,[0 2 2 6 1],0.79
2270,4.0,1.0,[0 0 0 1 0],0.0,[1 0 0 0 0],0.0
2280,4.0,3.0,[0 0 1 4 1],0.33,[2 0 1 2 1],2.33
2307,3.4,2.9,[0 2 7 4 2],0.77,[2 2 8 2 1],1.05
2338,4.8,3.2,[0 0 0 1 3],0.19,[1 0 1 1 1],2.19
2363,4.6,3.4,[0 0 1 2 6],0.47,[0 2 3 2 2],1.14
2379,3.0,2.6,[1 3 1 1 2],2.0,[2 0 5 1 0],0.98
2385,4.0,4.2,[1 0 0 1 3],2.4,[1 0 0 0 4],2.56
2431,3.4,3.9,[0 0 4 3 0],0.24,[0 0 2 4 1],0.41
2442,3.5,3.2,[0 0 2 2 0],0.25,[0 0 3 1 0],0.19
2455,3.7,3.6,[0 1 4 9 1],0.49,[2 0 4 5 4],1.57
2467,4.3,3.7,[0 0 2 0 4],0.89,[0 1 2 1 2],1.22
2469,4.0,3.8,[0 3 4 7 9],1.09,[ 1  3  5  4 10],1.53
2555,4.2,2.8,[0 0 0 3 1],0.19,[1 1 0 2 0],1.69
2678,3.2,3.6,[0 2 5 4 0],0.51,[0 1 4 4 2],0.78
2693,4.1,4.0,[0 0 3 2 4],0.77,[0 1 2 2 4],1.11
2757,2.5,3.4,[2 2 5 1 0],0.85,[1 1 2 5 1],1.24
2781,3.0,3.3,[0 1 1 1 0],0.67,[0 1 1 0 1],1.56
2787,3.8,3.5,[ 2  1  3 10  6],1.36,[3 0 7 6 6],1.61
2790,3.5,3.6,[2 0 1 2 3],2.5,[0 1 3 2 2],0.98
2794,3.6,4.0,[0 2 0 7 0],0.69,[0 1 3 0 5],1.33
2807,3.9,3.9,[0 0 2 7 1],0.29,[0 1 3 2 4],1.09
2878,3.9,3.3,[0 0 2 6 1],0.32,[1 2 1 3 2],1.78
2892,3.7,3.6,[1 0 3 8 2],0.92,[0 1 6 4 3],0.8
2900,3.8,4.2,[0 1 2 3 2],0.94,[0 0 1 4 3],0.44
2905,3.8,3.5,[1 3 3 3 8],1.73,[0 4 4 7 3],1.03
2960,4.5,4.2,[0 0 1 0 3],0.75,[0 0 0 3 1],0.19
2976,3.5,3.3,[ 0  0 15 11  1],0.32,[2 7 5 8 5],1.53
3039,3.2,3.4,[1 2 5 1 3],1.52,[0 2 5 3 2],0.91
3069,3.6,4.4,[0 1 2 0 2],1.44,[0 0 0 3 2],0.24
3097,4.3,3.7,[0 0 0 2 1],0.22,[0 0 1 2 0],0.22
3101,3.6,3.5,[0 1 3 2 2],0.98,[0 1 4 1 2],1.0
3172,3.8,3.8,[1 0 1 0 3],2.56,[0 0 2 2 1],0.56
3184,2.9,3.1,[2 1 3 4 0],1.29,[1 1 6 0 2],1.29
3186,4.0,3.7,[0 0 1 5 1],0.29,[1 0 1 3 2],1.63
3210,4.5,4.2,[0 0 0 2 2],0.25,[0 0 0 3 1],0.19
3221,3.3,3.3,[0 1 1 0 1],1.56,[0 1 1 0 1],1.56
3232,5.0,5.0,[0 0 0 0 3],0.0,[0 0 0 0 3],0.0
3292,4.0,3.7,[0 1 2 5 4],0.83,[1 2 2 2 5],1.89
3321,3.0,3.5,[ 7  8 11 17  2],1.36,[ 2  8 11 15  9],1.27
3323,3.0,4.0,[1 1 1 1 1],2.0,[0 0 2 1 2],0.8
3363,3.4,3.2,[3 1 6 6 5],1.67,[3 4 4 6 4],1.77
3392,4.2,4.2,[0 1 0 1 3],1.36,[0 0 1 2 2],0.56
3402,4.0,2.5,[0 0 2 0 2],1.0,[1 1 1 1 0],1.25
3406,4.0,3.8,[0 1 1 1 3],1.33,[0 2 0 1 3],1.81
3423,4.0,3.0,[0 0 0 2 0],0.0,[0 1 0 1 0],1.0
3432,4.3,3.7,[0 0 2 0 4],0.89,[1 0 1 2 2],1.89
3456,3.5,3.5,[0 0 1 1 0],0.25,[0 1 0 0 1],2.25
3458,3.4,3.2,[0 5 7 7 3],0.96,[3 2 7 8 2],1.33
3460,3.5,4.3,[1 1 2 4 2],1.45,[0 1 0 4 5],0.81
3461,2.9,3.5,[1 1 7 2 0],0.63,[1 0 3 6 1],0.98
3470,3.7,2.9,[0 0 2 5 0],0.2,[1 2 1 3 0],1.27
3487,3.2,3.6,[1 0 1 3 0],1.36,[0 0 2 3 0],0.24
3492,4.2,3.6,[0 0 1 2 2],0.56,[0 0 2 3 0],0.24
3495,4.3,4.2,[0 0 1 2 3],0.56,[0 0 1 3 2],0.47
3498,3.8,3.0,[0 0 2 1 1],0.69,[1 0 1 2 0],1.5
3521,4.3,3.7,[0 0 1 3 3],0.49,[1 0 2 1 3],1.92
3522,3.0,3.2,[0 1 3 1 0],0.4,[1 0 2 1 1],1.76
3530,4.0,3.5,[0 0 0 2 0],0.0,[0 1 0 0 1],2.25
3589,4.0,3.5,[0 0 1 0 1],1.0,[0 0 1 1 0],0.25
3595,3.0,3.5,[4 4 4 5 3],1.85,[2 1 7 5 5],1.45
3604,3.2,3.0,[0 7 7 7 3],1.02,[4 6 4 6 4],1.83
3621,4.7,4.0,[0 0 0 2 5],0.2,[0 0 1 5 1],0.29
3694,3.4,3.1,[1 2 6 3 4],1.37,[2 2 6 4 2],1.36
3695,3.8,3.8,[0 0 2 1 1],0.69,[0 1 0 2 1],1.19
3715,3.0,2.7,[0 1 4 1 0],0.33,[2 0 2 2 0],1.56
3718,3.4,3.7,[1 1 6 6 2],1.0,[1 1 5 4 5],1.34
3720,3.0,5.0,[0 0 1 0 0],0.0,[0 0 0 0 1],0.0
3742,2.7,3.3,[1 0 1 1 0],1.56,[1 0 0 1 1],2.89
3743,2.8,3.0,[1 3 6 2 0],0.69,[3 2 1 4 2],2.17
3764,4.7,4.7,[0 0 0 1 2],0.22,[0 0 0 1 2],0.22
3767,3.4,3.1,[1 3 2 2 4],1.91,[0 4 5 1 2],1.08
3777,4.5,4.2,[0 0 1 0 3],0.75,[0 0 1 1 2],0.69
3786,3.6,4.1,[0 2 1 6 1],0.84,[1 0 1 3 5],1.49
3788,3.3,3.1,[0 1 3 3 0],0.49,[1 0 3 3 0],0.98
3798,3.5,3.6,[0 2 5 5 2],0.82,[1 1 5 3 4],1.39
3802,3.0,4.4,[1 1 1 1 1],2.0,[0 0 0 3 2],0.24
3826,3.8,3.7,[0 1 2 0 3],1.47,[0 1 2 1 2],1.22
3870,3.9,3.7,[0 1 3 3 4],0.99,[1 1 3 1 5],1.83
3871,3.8,3.5,[1 1 1 1 4],2.19,[1 1 2 1 3],2.0
3921,4.1,3.4,[0 0 5 2 6],0.84,[1 2 3 5 2],1.31
3934,5.0,4.2,[0 0 0 0 5],0.0,[0 0 1 2 2],0.56
3984,3.4,2.8,[0 1 1 3 0],0.64,[1 1 1 2 0],1.36
3998,4.7,3.9,[ 0  0  1 10 28],0.26,[ 2  3  6 15 13],1.24
4044,3.8,4.0,[0 0 2 2 1],0.56,[0 0 1 3 1],0.4
4057,3.9,3.9,[ 1  1  0 16  2],0.73,[ 0  3  2 10  5],0.93
4059,3.8,2.3,[0 0 2 3 1],0.47,[2 0 4 0 0],0.89
4066,3.8,4.0,[0 0 1 5 0],0.14,[0 0 1 4 1],0.33
4103,3.6,3.4,[0 1 1 2 1],1.04,[0 1 2 1 1],1.04
4127,3.2,3.5,[1 1 0 0 2],3.19,[1 0 1 0 2],2.75
4247,3.1,3.6,[2 2 3 6 1],1.41,[0 1 5 6 2],0.66
4277,3.8,3.9,[0 0 3 7 1],0.33,[1 0 3 2 5],1.54
4298,3.4,3.2,[0 0 3 2 0],0.24,[1 1 1 0 2],2.56
4300,4.7,4.3,[0 0 0 2 4],0.22,[0 1 0 1 4],1.22
4306,3.0,3.2,[0 5 8 3 1],0.71,[2 2 7 3 3],1.44
4315,4.4,3.6,[ 0  0  0 11  6],0.23,[1 2 3 7 4],1.29
4326,3.9,3.8,[0 1 0 7 1],0.54,[0 0 4 3 2],0.62
4330,5.0,4.0,[0 0 0 0 4],0.0,[1 0 0 0 3],3.0
4347,4.3,4.2,[0 0 0 6 3],0.22,[0 0 1 5 3],0.4
4398,3.8,3.2,[0 0 1 3 0],0.19,[1 0 1 1 1],2.19
4409,4.6,3.5,[0 0 0 4 6],0.24,[0 1 4 4 1],0.65
4421,3.6,4.1,[0 2 5 9 2],0.68,[1 1 2 6 8],1.27
4422,4.2,3.6,[0 1 1 5 5],0.81,[0 2 3 5 2],0.91
4437,3.7,3.7,[0 0 2 0 1],0.89,[0 1 0 1 1],1.56
4439,4.0,3.9,[0 0 2 7 2],0.36,[0 0 4 4 3],0.63
4451,3.3,2.7,[0 0 2 1 0],0.22,[0 2 0 1 0],0.89
4460,3.8,3.4,[0 0 1 4 0],0.16,[1 1 0 1 2],2.64
4461,3.8,3.2,[0 1 1 2 2],1.14,[0 2 2 1 1],1.14
4477,3.7,3.6,[1 0 6 4 4],1.16,[2 2 1 5 5],1.97
4488,3.0,2.8,[0 3 6 3 0],0.5,[3 2 2 4 1],1.81
4545,4.4,3.4,[0 0 1 1 3],0.64,[0 0 4 0 1],0.64
4576,3.6,3.7,[0 2 3 5 2],0.91,[1 1 2 5 3],1.39
4581,3.9,3.7,[0 1 2 3 3],0.99,[0 0 4 4 1],0.44
4597,3.3,3.2,[1 5 8 6 4],1.21,[ 4  1 10  5  4],1.56
4605,4.7,4.0,[0 0 0 3 6],0.22,[0 2 1 1 5],1.56
4606,3.2,3.6,[0 1 5 3 0],0.4,[0 1 3 4 1],0.69
4638,3.6,3.4,[2 0 1 3 3],2.25,[0 2 3 2 2],1.14
4666,4.0,3.7,[0 0 2 6 2],0.4,[1 0 2 5 2],1.21
4679,4.8,4.2,[ 0  0  1  2 14],0.3,[0 2 0 8 7],0.85
4706,3.5,3.4,[2 1 7 5 5],1.45,[3 1 5 7 4],1.64
4739,4.0,3.4,[0 0 0 5 0],0.0,[0 0 3 2 0],0.24
4753,4.1,3.4,[0 0 3 3 4],0.69,[1 0 4 4 1],1.04
4783,4.0,3.4,[1 0 1 6 4],1.17,[0 2 4 5 1],0.74
4804,3.4,3.6,[1 2 0 1 3],2.53,[1 0 1 4 1],1.39
4807,3.8,3.7,[0 1 1 2 2],1.14,[0 1 1 3 1],0.89
4893,3.7,3.8,[0 0 3 2 1],0.56,[1 0 1 1 3],2.14
4894,3.9,3.7,[0 0 2 4 1],0.41,[0 1 3 0 3],1.35
4905,3.1,2.9,[ 2  4 14  6  2],0.92,[ 3  6 10  8  1],1.07
4906,3.9,3.5,[0 3 3 9 6],0.98,[0 6 3 7 5],1.3
4960,3.3,2.7,[0 1 3 1 1],0.89,[1 1 3 1 0],0.89
4981,4.0,4.3,[0 0 1 1 1],0.67,[0 0 0 2 1],0.22
4983,3.9,3.8,[ 0  0  4 12  3],0.37,[2 0 4 7 6],1.43
5027,3.9,3.3,[1 2 0 0 6],2.54,[1 0 4 3 1],1.11
5034,3.5,3.8,[1 0 0 2 1],2.25,[0 0 2 1 1],0.69
5082,4.3,4.2,[0 0 1 4 4],0.44,[0 1 0 4 4],0.84
5087,3.4,2.0,[0 1 1 3 0],0.64,[2 1 2 0 0],0.8
5107,3.2,3.2,[0 2 2 4 0],0.69,[2 0 2 2 2],2.19
5109,3.2,2.8,[0 2 2 1 1],1.14,[2 0 1 3 0],1.81
5168,3.3,3.2,[0 1 3 1 1],0.89,[0 1 4 0 1],0.81
5202,3.8,3.8,[0 0 1 3 0],0.19,[0 1 0 2 1],1.19
5256,3.3,3.3,[0 1 1 0 1],1.56,[0 1 1 0 1],1.56
5317,3.7,4.2,[0 2 1 5 2],1.01,[0 2 0 2 6],1.36
5399,3.7,3.6,[0 2 5 5 4],0.96,[1 2 5 3 5],1.5
5430,3.3,3.0,[0 2 3 3 1],0.89,[1 2 4 0 2],1.56
5498,3.0,3.7,[1 0 0 2 0],2.0,[0 1 0 1 1],1.56
5507,3.0,2.3,[0 1 1 1 0],0.67,[1 1 0 1 0],1.56
5530,4.1,4.0,[ 0  1  0 16  4],0.37,[ 1  1  2 10  7],1.05
5568,2.7,3.2,[ 1  3 10  1  0],0.46,[1 5 3 2 4],1.76
5569,4.0,3.7,[0 1 2 7 4],0.71,[0 2 2 8 2],0.78
5575,3.0,4.0,[0 0 2 0 0],0.0,[0 0 1 0 1],1.0
5583,5.0,3.0,[0 0 0 0 1],0.0,[0 0 1 0 0],0.0
5618,3.8,3.4,[0 2 5 6 5],0.95,[2 0 7 6 3],1.25
5652,3.7,3.8,[ 1  1 10 10  7],0.96,[ 1  0  8 14  6],0.76
5665,4.2,3.8,[0 0 1 1 2],0.69,[1 0 0 1 2],2.69
5668,5.0,4.2,[0 0 0 0 5],0.0,[0 1 0 1 3],1.36
5682,3.8,4.0,[0 0 2 2 1],0.56,[0 0 1 3 1],0.4
5686,4.7,4.0,[0 0 1 0 5],0.56,[0 0 2 2 2],0.67
5696,3.8,3.7,[0 0 2 3 1],0.47,[0 1 1 3 1],0.89
5727,4.6,4.0,[0 0 0 6 8],0.24,[0 0 5 4 5],0.71
5749,3.7,4.0,[0 2 0 3 2],1.35,[0 1 1 2 3],1.14
5762,4.2,3.5,[0 0 0 3 1],0.19,[1 0 0 2 1],2.25
5771,3.6,4.4,[0 1 2 0 2],1.44,[0 0 0 3 2],0.24
5827,4.7,4.0,[0 0 0 1 2],0.22,[0 0 0 3 0],0.0
5841,3.8,3.6,[0 2 1 3 3],1.28,[0 2 2 3 2],1.14
5856,3.0,2.7,[0 2 3 2 0],0.57,[1 1 4 1 0],0.78
5858,3.7,3.5,[0 0 3 2 1],0.56,[0 0 3 3 0],0.25
5878,3.0,2.8,[0 1 4 1 0],0.33,[0 3 1 2 0],0.81
5889,3.6,3.0,[0 0 3 1 1],0.64,[0 1 3 1 0],0.4
5916,3.9,4.0,[1 0 0 4 2],1.55,[0 1 1 2 3],1.14
5931,4.2,4.0,[0 0 1 1 2],0.69,[0 1 0 1 2],1.5
5945,2.4,2.4,[3 2 5 1 0],0.96,[3 4 2 1 1],1.5
5948,4.2,4.4,[0 0 1 2 2],0.56,[0 0 1 1 3],0.64
5951,3.5,4.0,[0 1 0 0 1],2.25,[0 0 0 2 0],0.0
5977,3.7,4.2,[1 0 4 5 3],1.14,[0 0 3 4 6],0.64
5980,3.5,3.4,[ 0  0 17  4  5],0.63,[2 4 8 6 6],1.47
6048,3.0,3.5,[0 0 2 0 0],0.0,[0 0 1 1 0],0.25
6056,3.3,3.7,[0 3 3 4 1],0.93,[1 0 3 4 3],1.29
6057,3.8,3.7,[0 0 4 3 2],0.62,[0 0 4 4 1],0.44
6062,4.0,3.8,[0 0 1 3 1],0.4,[0 0 2 2 1],0.56
6065,3.4,2.8,[0 0 3 2 0],0.24,[2 0 1 1 1],2.56
6082,3.3,3.7,[0 0 2 1 0],0.22,[0 0 1 2 0],0.22
6130,4.0,1.0,[0 0 1 0 1],1.0,[2 0 0 0 0],0.0
6138,3.7,3.7,[0 1 2 1 2],1.22,[1 0 0 4 1],1.56
6161,3.3,3.7,[0 0 2 1 0],0.22,[0 0 1 2 0],0.22
6172,3.0,3.0,[0 1 0 1 0],1.0,[0 0 2 0 0],0.0
6173,3.3,3.5,[1 1 3 6 0],0.93,[1 1 2 6 1],1.16
6177,4.3,4.0,[0 0 0 4 2],0.22,[0 1 0 3 2],1.0
6178,3.3,2.6,[2 1 0 1 3],3.06,[2 2 1 1 1],1.96
6206,3.7,3.4,[ 0  1  8 15  3],0.49,[ 2  2  8 12  3],1.06
6319,4.0,3.9,[0 0 2 3 2],0.57,[0 0 1 6 0],0.12
6336,3.8,3.8,[0 0 2 2 1],0.56,[0 0 2 2 1],0.56
6368,4.4,4.0,[0 0 1 1 3],0.64,[0 1 1 0 3],1.6
6369,4.0,4.0,[0 0 0 1 0],0.0,[0 0 0 1 0],0.0
6373,4.6,4.0,[0 0 0 2 3],0.24,[0 0 1 3 1],0.4
6401,4.4,3.7,[0 0 1 2 4],0.53,[1 1 0 2 3],2.2
6408,3.3,2.3,[0 0 2 1 0],0.22,[1 0 2 0 0],0.89
6416,4.2,3.8,[0 0 2 2 4],0.69,[0 1 2 3 2],0.94
6427,4.1,3.7,[0 1 0 3 3],0.98,[1 0 1 3 2],1.63
6444,4.2,3.2,[0 1 1 0 4],1.47,[0 2 1 3 0],0.81
6457,3.3,3.0,[1 0 1 4 0],1.22,[1 1 2 1 1],1.67
6460,4.2,3.6,[0 0 1 8 4],0.33,[1 0 5 4 3],1.16
6483,4.0,3.1,[0 1 1 3 3],1.0,[1 2 1 3 1],1.61
6485,3.6,4.1,[0 0 4 3 1],0.48,[0 0 3 1 4],0.86
6488,3.8,2.8,[0 1 1 1 2],1.36,[2 0 1 1 1],2.56
6500,3.0,3.5,[1 0 1 2 0],1.5,[0 1 1 1 1],1.25
6504,4.1,3.5,[0 0 5 8 8],0.6,[ 0  3  6 10  2],0.73
6514,4.8,2.8,[0 0 0 1 3],0.19,[1 1 0 2 0],1.69
6529,3.5,3.1,[2 1 2 2 4],2.25,[2 2 2 3 2],1.9
6544,4.3,3.5,[ 0  0  1 13  9],0.31,[1 3 7 7 5],1.21
6608,3.8,3.2,[0 0 3 4 1],0.44,[2 0 2 2 2],2.19
6628,3.5,4.0,[0 0 2 2 0],0.25,[0 0 1 2 1],0.5
6629,3.3,3.0,[ 0  6 12  9  3],0.81,[6 5 7 6 6],1.97
6663,4.2,4.4,[0 0 1 2 2],0.56,[0 0 1 1 3],0.64
6666,4.5,2.8,[0 0 0 2 2],0.25,[1 1 1 0 1],2.19
6669,2.5,2.5,[0 2 2 0 0],0.25,[1 1 1 1 0],1.25
6678,5.0,5.0,[0 0 0 0 1],0.0,[0 0 0 0 1],0.0
6680,4.6,3.6,[0 0 1 0 4],0.64,[0 0 3 1 1],0.64
6684,2.9,3.3,[0 3 4 2 0],0.54,[1 1 4 0 3],1.78
6689,3.2,3.4,[0 1 5 3 0],0.4,[1 1 1 5 1],1.36
6699,3.8,3.8,[1 2 1 4 5],1.72,[2 0 2 4 5],1.87
